sample_id,cell_line,passage,study_part,percent_oxygen,treatment_clean,treatment_full,pdl,percent_lifespan,clinical_condition,donor_age,cell_type,sex,days_grown,telomere_length,telomere_length_cv,mtdna_cn,rnaseq_id,methylation_basename,clock_horvath1,clock_horvath2,clock_hannum,clock_phenoage,clock_grimage,clock_dnamtl,clock_dnamsen,clock_skin,clock_dunedin,grim_adm,grim_b2m,grim_cystatin,grim_gdf15,grim_leptin,grim_pai1,grim_timp1,pdl_norm,pdl_bin,has_rna,has_met,has_telomere,has_mtdna,has_img,has_clocks,n_modalities,rna_matrix_col,met_matrix_col,fold,senescence_score,sasp_score,mito_rna_score
98,hFB1,20.0,1,21,Pulsated_DEX,Pulsated_DEX_21,57.58,,Normal,29.0,Primary Human Fibroblast (forearm),male,84.1,0.52,0.01,1204.38,,203774260075_R05C01,62.51,37.64,14.56,46.39,57.99,4.9,7.11,,0.612613044,395.84,1699673.03,814131.05,399.25,27228.6,224.29,34623.18,0.9539430086149768,late,False,True,True,True,True,True,4,,203774260075_R05C01 beta,2.0,,,
110,hFB2,10.0,1,21,Pulsated_DEX,Pulsated_DEX_21,21.49,,Normal,36.0,Primary Human Fibroblast (forearm),female,27.23,0.84,0.0,525.81,,203774260024_R08C01,36.33,20.92,8.11,38.34,62.05,5.67,4.34,,0.258014145,448.03,1828578.01,713115.98,-198.45,38784.72,10839.88,33975.56,0.6320588235294117,mid,False,True,True,True,True,True,4,,203774260024_R08C01 beta,2.0,,,
112,hFB2,12.0,1,21,Pulsated_DEX,Pulsated_DEX_21,27.41,,Normal,36.0,Primary Human Fibroblast (forearm),female,37.23,0.94,0.04,1165.5,,203784950009_R02C01,37.35,25.32,12.29,34.95,62.89,5.45,4.72,,0.305047596,458.54,1873826.84,720586.84,-122.67,42083.88,14589.48,33632.51,0.8061764705882353,late,False,True,True,True,True,True,4,,203784950009_R02C01 beta,2.0,,,
114,hFB2,14.0,1,21,Pulsated_DEX,Pulsated_DEX_21,30.05,,Normal,36.0,Primary Human Fibroblast (forearm),female,47.08,0.83,0.01,874.07,,203774260118_R06C01,39.9,28.79,14.64,38.6,58.01,5.45,7.02,,0.296544039,433.05,1808575.72,709197.46,-179.0,39369.02,12789.36,33269.27,0.8838235294117647,late,False,True,True,True,True,True,4,,203774260118_R06C01 beta,2.0,,,
125,hFB1,9.0,1,21,MitoQ,MitoQ_21,17.38,,Normal,29.0,Primary Human Fibroblast (forearm),male,24.85,0.74,0.03,272.0,,203774260141_R08C01,55.78,26.77,-1.26,42.0,52.91,5.31,-0.89,,0.617852893,364.37,1654443.9,717134.36,393.08,16594.66,11482.08,33976.63,0.28793903247183567,early,False,True,True,True,True,True,4,,203774260141_R08C01 beta,2.0,,,
129,hFB1,13.0,1,21,MitoQ,MitoQ_21,31.33,,Normal,29.0,Primary Human Fibroblast (forearm),male,45.44,0.86,0.01,327.37,,203784950058_R04C01,63.37,23.17,2.47,49.65,52.1,5.05,-1.47,,0.616381092,379.35,1578186.0,719580.57,488.45,17543.27,6251.46,33873.29,0.5190523525513585,mid,False,True,True,True,True,True,4,,203784950058_R04C01 beta,2.0,,,
132,hFB1,16.0,1,21,MitoQ,MitoQ_21,41.43,,Normal,29.0,Primary Human Fibroblast (forearm),male,61.06,0.92,0.04,236.96,,203774260112_R01C01,64.41,33.88,7.57,47.81,53.89,5.01,0.53,,0.580227584,376.46,1640047.12,765713.36,398.83,20885.34,3540.05,34399.21,0.6863817097415507,late,False,True,True,True,True,True,4,,203774260112_R01C01 beta,2.0,,,
134,hFB1,18.0,1,21,MitoQ,MitoQ_21,47.5,,Normal,29.0,Primary Human Fibroblast (forearm),male,72.15,0.49,0.01,295.77,,203836210089_R05C01,67.85,39.14,11.74,40.47,56.13,4.97,1.23,,0.472386232,390.25,1674437.22,786592.09,472.44,22772.2,1595.06,34112.3,0.7869449966865474,late,False,True,True,True,True,True,4,,203836210089_R05C01 beta,2.0,,,
136,hFB1,20.0,1,21,MitoQ,MitoQ_21,51.11,,Normal,29.0,Primary Human Fibroblast (forearm),male,84.1,0.56,0.0,462.06,,203784950093_R01C01,68.23,36.05,12.71,48.26,57.74,4.92,2.43,,0.542459407,401.65,1702656.27,820208.82,413.33,23846.0,786.8,34468.48,0.846752816434725,late,False,True,True,True,True,True,4,,203784950093_R01C01 beta,2.0,,,
141,hFB1,25.0,1,21,MitoQ,MitoQ_21,55.28,,Normal,29.0,Primary Human Fibroblast (forearm),male,116.94,0.62,0.01,648.88,,203774260024_R04C01,63.47,36.85,10.5,47.24,55.76,4.85,4.01,,0.651207285,400.81,1637915.61,796503.9,410.23,26558.11,-100.13,35107.91,0.9158383035122598,late,False,True,True,True,True,True,4,,203774260024_R04C01 beta,2.0,,,
148,hFB2,10.0,1,21,MitoQ,MitoQ_21,20.44,,Normal,36.0,Primary Human Fibroblast (forearm),female,27.23,0.79,0.03,763.99,,203784950085_R04C01,38.32,25.68,11.53,35.69,63.53,5.5,2.61,,0.244368381,457.49,1852274.9,706908.18,-195.47,38264.19,16723.25,34692.92,0.6011764705882353,mid,False,True,True,True,True,True,4,,203784950085_R04C01 beta,2.0,,,
155,hFB2,17.0,1,21,MitoQ,MitoQ_21,29.3,,Normal,36.0,Primary Human Fibroblast (forearm),female,74.31,0.73,0.02,,,203774260112_R02C01,41.52,28.39,15.93,46.81,61.47,5.38,2.36,,0.310952288,439.99,1868590.09,717963.55,-148.19,40454.77,15689.18,33922.97,0.861764705882353,late,False,True,True,False,True,True,3,,203774260112_R02C01 beta,2.0,,,
163,hFB1,9.0,1,21,MitoQ+DEX,MitoQ+DEX_21,17.18,,Normal,29.0,Primary Human Fibroblast (forearm),male,24.85,1.0,0.01,234.88,,203774260131_R05C01,54.85,23.15,-3.06,40.24,51.39,5.26,-0.64,,0.622680744,371.28,1604140.7,693177.46,430.65,15224.76,9739.91,33616.79,0.28462557985420806,early,False,True,True,True,True,True,4,,203774260131_R05C01 beta,2.0,,,
167,hFB1,13.0,1,21,MitoQ+DEX,MitoQ+DEX_21,26.99,,Normal,29.0,Primary Human Fibroblast (forearm),male,45.44,0.89,0.02,218.7,,203774260151_R05C01,59.27,20.15,2.83,50.07,51.01,5.24,0.04,,0.757456051,374.44,1652144.5,706074.26,350.17,20826.81,10215.42,33241.12,0.44715043074884026,mid,False,True,True,True,True,True,4,,203774260151_R05C01 beta,2.0,,,
170,hFB1,16.0,1,21,MitoQ+DEX,MitoQ+DEX_21,32.95,,Normal,29.0,Primary Human Fibroblast (forearm),male,61.06,0.8,0.04,273.37,,203784950028_R04C01,59.09,23.32,4.08,55.98,51.08,5.26,1.05,,0.777644557,366.2,1744500.96,733408.33,409.96,26157.84,5468.89,34401.72,0.5458913187541419,mid,False,True,True,True,True,True,4,,203784950028_R04C01 beta,2.0,,,
172,hFB1,18.0,1,21,MitoQ+DEX,MitoQ+DEX_21,35.98,,Normal,29.0,Primary Human Fibroblast (forearm),male,72.15,0.58,0.0,344.21,,203784950093_R06C01,62.26,23.96,2.73,53.93,50.53,5.07,1.81,,0.770259809,363.15,1725875.69,738123.09,294.32,26036.0,2533.51,35101.07,0.5960901259111995,mid,False,True,True,True,True,True,4,,203784950093_R06C01 beta,2.0,,,
179,hFB1,25.0,1,21,MitoQ+DEX,MitoQ+DEX_21,40.83,,Normal,29.0,Primary Human Fibroblast (forearm),male,116.94,0.77,0.01,1317.77,,203774260087_R03C01,61.24,31.06,5.34,49.09,53.98,5.09,0.64,,0.732108423,388.7,1795770.64,788848.94,413.64,31137.69,3168.24,35709.2,0.6764413518886679,late,False,True,True,True,True,True,4,,203774260087_R03C01 beta,2.0,,,
195,hFB2,17.0,1,21,MitoQ+DEX,MitoQ+DEX_21,26.57,,Normal,36.0,Primary Human Fibroblast (forearm),female,74.31,0.63,0.03,,,203784950049_R02C01,42.13,32.69,15.7,34.31,64.53,5.45,4.32,,0.344666418,454.17,1977549.82,756711.23,-199.88,43877.14,12237.32,35776.63,0.7814705882352941,late,False,True,True,False,True,True,3,,203784950049_R02C01 beta,2.0,,,
203,hFB1,9.0,1,21,NAC,NAC_21,18.44,,Normal,29.0,Primary Human Fibroblast (forearm),male,24.85,0.71,0.03,372.26,,203774260120_R02C01,56.78,29.56,-1.47,40.21,51.09,5.24,-2.17,,0.603266566,369.95,1562577.34,687883.27,331.67,15306.1,11599.03,33757.3,0.3055003313452618,early,False,True,True,True,True,True,4,,203774260120_R02C01 beta,2.0,,,
